Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ConcurSearch,Chrome 65.0.3325.181,,2018-04-12 17:10:55,2018-04-12 17:12:10,1m - 15.456s,PASSED
,,,,,,
Test Cases/Concur_Seach_1,Chrome 65.0.3325.181,,2018-04-12 17:10:55,2018-04-12 17:11:54,58.142s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-12 17:10:56,2018-04-12 17:11:03,6.566s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-12 17:11:03,2018-04-12 17:11:05,2.634s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-12 17:11:05,2018-04-12 17:11:06,0.816s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-12 17:11:06,2018-04-12 17:11:06,0.359s,PASSED
click,Chrome 65.0.3325.181,,2018-04-12 17:11:06,2018-04-12 17:11:12,5.420s,PASSED
click,Chrome 65.0.3325.181,,2018-04-12 17:11:12,2018-04-12 17:11:12,0.597s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-12 17:11:12,2018-04-12 17:11:13,1.012s,PASSED
click,Chrome 65.0.3325.181,,2018-04-12 17:11:13,2018-04-12 17:11:14,0.693s,PASSED
click,Chrome 65.0.3325.181,,2018-04-12 17:11:14,2018-04-12 17:11:14,0.145s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-12 17:11:14,2018-04-12 17:11:15,0.665s,PASSED
click,Chrome 65.0.3325.181,,2018-04-12 17:11:15,2018-04-12 17:11:16,0.744s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-12 17:11:16,2018-04-12 17:11:17,0.912s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2018-04-12 17:11:17,2018-04-12 17:11:17,0.614s,PASSED
doubleClick,Chrome 65.0.3325.181,,2018-04-12 17:11:17,2018-04-12 17:11:17,0.207s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-12 17:11:17,2018-04-12 17:11:18,0.899s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2018-04-12 17:11:18,2018-04-12 17:11:19,0.586s,PASSED
click,Chrome 65.0.3325.181,,2018-04-12 17:11:19,2018-04-12 17:11:20,1.132s,PASSED
click,Chrome 65.0.3325.181,,2018-04-12 17:11:20,2018-04-12 17:11:45,24.945s,PASSED
click,Chrome 65.0.3325.181,,2018-04-12 17:11:45,2018-04-12 17:11:51,6.481s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-12 17:11:51,2018-04-12 17:11:52,0.403s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2018-04-12 17:11:52,2018-04-12 17:11:52,0.333s,PASSED
click,Chrome 65.0.3325.181,,2018-04-12 17:11:52,2018-04-12 17:11:52,0.171s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-04-12 17:11:52,2018-04-12 17:11:54,1.117s,PASSED
,,,,,,
Test Cases/wikipedia_test_1,Chrome 65.0.3325.181,,2018-04-12 17:11:54,2018-04-12 17:12:10,16.599s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-12 17:11:54,2018-04-12 17:11:59,4.669s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-12 17:11:59,2018-04-12 17:12:01,2.023s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-12 17:12:01,2018-04-12 17:12:01,0.515s,PASSED
click,Chrome 65.0.3325.181,,2018-04-12 17:12:01,2018-04-12 17:12:03,2.219s,PASSED
click,Chrome 65.0.3325.181,,2018-04-12 17:12:03,2018-04-12 17:12:04,0.767s,PASSED
click,Chrome 65.0.3325.181,,2018-04-12 17:12:04,2018-04-12 17:12:06,1.790s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-12 17:12:06,2018-04-12 17:12:06,0.390s,PASSED
click,Chrome 65.0.3325.181,,2018-04-12 17:12:06,2018-04-12 17:12:08,2.115s,PASSED
click,Chrome 65.0.3325.181,,2018-04-12 17:12:08,2018-04-12 17:12:09,0.811s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-04-12 17:12:09,2018-04-12 17:12:10,0.933s,PASSED
