Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ConcurSearch,Chrome 65.0.3325.181,,2018-04-12 15:05:19,2018-04-12 15:06:12,53.256s,PASSED
,,,,,,
Test Cases/Concur_Seach_1,Chrome 65.0.3325.181,,2018-04-12 15:05:19,2018-04-12 15:06:12,52.768s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-12 15:05:20,2018-04-12 15:05:24,4.602s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-12 15:05:24,2018-04-12 15:05:26,2.118s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-12 15:05:26,2018-04-12 15:05:27,0.540s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-12 15:05:27,2018-04-12 15:05:27,0.242s,PASSED
click,Chrome 65.0.3325.181,,2018-04-12 15:05:27,2018-04-12 15:05:32,4.672s,PASSED
click,Chrome 65.0.3325.181,,2018-04-12 15:05:32,2018-04-12 15:05:32,0.337s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-12 15:05:32,2018-04-12 15:05:33,1.008s,PASSED
click,Chrome 65.0.3325.181,,2018-04-12 15:05:33,2018-04-12 15:05:34,1.186s,PASSED
click,Chrome 65.0.3325.181,,2018-04-12 15:05:34,2018-04-12 15:05:35,0.222s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-12 15:05:35,2018-04-12 15:05:35,0.689s,PASSED
click,Chrome 65.0.3325.181,,2018-04-12 15:05:35,2018-04-12 15:05:36,1.167s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-12 15:05:36,2018-04-12 15:05:37,0.797s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2018-04-12 15:05:37,2018-04-12 15:05:38,0.611s,PASSED
doubleClick,Chrome 65.0.3325.181,,2018-04-12 15:05:38,2018-04-12 15:05:38,0.157s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-12 15:05:38,2018-04-12 15:05:39,0.733s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2018-04-12 15:05:39,2018-04-12 15:05:39,0.540s,PASSED
click,Chrome 65.0.3325.181,,2018-04-12 15:05:39,2018-04-12 15:05:41,1.969s,PASSED
click,Chrome 65.0.3325.181,,2018-04-12 15:05:41,2018-04-12 15:06:06,24.542s,PASSED
click,Chrome 65.0.3325.181,,2018-04-12 15:06:06,2018-04-12 15:06:10,4.330s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-12 15:06:10,2018-04-12 15:06:10,0.405s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2018-04-12 15:06:10,2018-04-12 15:06:11,0.408s,PASSED
click,Chrome 65.0.3325.181,,2018-04-12 15:06:11,2018-04-12 15:06:11,0.141s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-04-12 15:06:11,2018-04-12 15:06:12,0.966s,PASSED
